user_id,role_k1500,onet_code,onet_title,affected_score
134258009,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
92147673,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
153903870,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
34219811,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
64179936,systems engineering,15-1299.07,Blockchain Engineers,0.9705882352941176
132612503,systems engineering,15-1299.07,Blockchain Engineers,0.9705882352941176
198135902,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
100917693,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
35309154,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
123296501,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
148988375,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
162358554,computer engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
83793996,computer engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
90701953,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
199350861,computer engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
51548562,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
175562552,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
204263700,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
80914159,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
189238412,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
96298535,systems engineering,15-1299.07,Blockchain Engineers,0.9705882352941176
18442275,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
75146325,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
73578038,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
147432327,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
107549076,systems engineer,15-1299.07,Blockchain Engineers,0.9705882352941176
183896262,editorial,43-9081.00,Proofreaders and Copy Markers,0.9545454545454546
91039678,editorial,43-9081.00,Proofreaders and Copy Markers,0.9545454545454546
191190722,editorial,43-9081.00,Proofreaders and Copy Markers,0.9545454545454546
160754850,system administrator,15-1242.00,Database Administrators,0.9444444444444444
151269659,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
12770888,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
33213950,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
189365107,database administrator,15-1242.00,Database Administrators,0.9444444444444444
205607843,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
40051141,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
128275724,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
97884003,system,15-1242.00,Database Administrators,0.9444444444444444
26420241,system administrator,15-1242.00,Database Administrators,0.9444444444444444
164500326,sql server dba,15-1242.00,Database Administrators,0.9444444444444444
100598457,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
120210029,unix administrator,15-1242.00,Database Administrators,0.9444444444444444
194785044,database analyst,15-1243.01,Data Warehousing Specialists,0.9444444444444444
57582165,unix system administrator,15-1242.00,Database Administrators,0.9444444444444444
180477008,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
195363447,system administrator,15-1242.00,Database Administrators,0.9444444444444444
74311242,system administrator,15-1242.00,Database Administrators,0.9444444444444444
69820143,system,15-1242.00,Database Administrators,0.9444444444444444
62619544,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
150282075,system administrator,15-1242.00,Database Administrators,0.9444444444444444
63743592,data architect,15-1243.01,Data Warehousing Specialists,0.9444444444444444
81178340,business intelligence developer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
22558505,data architect,15-1243.01,Data Warehousing Specialists,0.9444444444444444
45993563,business intelligence consultant,15-1243.01,Data Warehousing Specialists,0.9444444444444444
111970172,data engineer,15-1243.01,Data Warehousing Specialists,0.9444444444444444
181754005,software consultant,15-1251.00,Computer Programmers,0.9411764705882352
67640416,application architect,15-1251.00,Computer Programmers,0.9411764705882352
67782063,software analyst,15-1251.00,Computer Programmers,0.9411764705882352
33909241,software analyst,15-1251.00,Computer Programmers,0.9411764705882352
13797406,computer programmer,15-1251.00,Computer Programmers,0.9411764705882352
199661821,application architect,15-1251.00,Computer Programmers,0.9411764705882352
66229285,programming analyst,15-1251.00,Computer Programmers,0.9411764705882352
93578629,application architect,15-1251.00,Computer Programmers,0.9411764705882352
160798747,software analyst,15-1251.00,Computer Programmers,0.9411764705882352
10662375,software programmer,15-1251.00,Computer Programmers,0.9411764705882352
63719549,applications developer,15-1251.00,Computer Programmers,0.9411764705882352
64363709,developer,15-1251.00,Computer Programmers,0.9411764705882352
180584043,application architect,15-1251.00,Computer Programmers,0.9411764705882352
36117190,software analyst,15-1251.00,Computer Programmers,0.9411764705882352
206839624,system developer,15-1251.00,Computer Programmers,0.9411764705882352
100400200,applications developer,15-1251.00,Computer Programmers,0.9411764705882352
161687547,application developer,15-1251.00,Computer Programmers,0.9411764705882352
16305452,programmer analyst,15-1251.00,Computer Programmers,0.9411764705882352
179603595,application architect,15-1251.00,Computer Programmers,0.9411764705882352
58386918,programmer analyst,15-1251.00,Computer Programmers,0.9411764705882352
56338688,developer,15-1251.00,Computer Programmers,0.9411764705882352
56559133,application architect,15-1251.00,Computer Programmers,0.9411764705882352
4703873,software analyst,15-1251.00,Computer Programmers,0.9411764705882352
17401353,software analyst,15-1251.00,Computer Programmers,0.9411764705882352
