role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
computer technician,IT Technician,Technical Support,Technical Support,Technical Support,IT Specialist,Engineer,15-1232.00,Computer User Support Specialists
configuration,Configuration Specialist,Configuration Specialist,Configuration Specialist,IT Project Manager,IT Project Manager,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
configuration analyst,Configuration Specialist,Configuration Specialist,Configuration Specialist,IT Project Manager,IT Project Manager,Engineer,15-1299.06,Digital Forensics Analysts
conseiller commercial,Conseiller commercial,Conseiller commercial,Conseiller commercial,Conseiller commercial,Cashier,Sales,41-9041.00,Telemarketers
construction,Construction Manager,Construction Manager,Construction Manager,Construction Manager,Technical Architect,Engineer,11-9021.00,Construction Managers
construction engineer,Civil Engineer,Civil Engineer,Civil Engineer,Construction Manager,Technical Architect,Engineer,11-9021.00,Construction Managers
construction project,Construction Manager,Construction Manager,Construction Manager,Construction Manager,Technical Architect,Engineer,11-9021.00,Construction Managers
consultant project,Project Consultant,Project Consultant,Project Manager,Project Manager,Project Manager,Operations,13-1082.00,Project Management Specialists
consulting,Consulting,Consulting,Consulting,Project Manager,Project Manager,Operations,13-1111.00,Management Analysts
consulting analyst,Consulting Analyst,Project Analyst,Project Analyst,Business Analyst,Data Analyst,Engineer,13-1111.00,Management Analysts
consulting engineer,Consulting Engineer,Field Engineer,Field Engineer,Mechanical Engineer,Mechanical Engineer,Engineer,17-2199.06,Microsystems Engineers
consulting services,Consulting Services,Consulting Services,Consulting,Project Manager,Project Manager,Operations,13-1111.00,Management Analysts
consumer marketing,Consumer Marketing,Brand Manager,Brand Manager,Brand Manager,Marketing,Marketing,13-1161.01,Search Marketing Strategists
contact center,Call Center Operator,Call Center Operator,Call Center Operator,Customer Service,Customer Service,Sales,43-4051.00,Customer Service Representatives
content,Content Specialist,Content Specialist,Content Specialist,Content Specialist,Producer,Marketing,27-3043.00,Writers and Authors
content analyst,Content Analyst,Content Analyst,Content Specialist,Content Specialist,Producer,Marketing,43-9081.00,Proofreaders and Copy Markers
content creator,Content Specialist,Content Specialist,Content Specialist,Content Specialist,Producer,Marketing,27-3043.00,Writers and Authors
continuous,Continuous Improvement Specialist,Industrial Engineer,Manufacturing Engineer,Manufacturing Associate,Production Operator,Engineer,17-2112.00,Industrial Engineers
contractor,Contractor,Contractor,Project Coordinator,Technician,Technician,Engineer,27-2012.05,Media Technical Directors/Managers
contracts,Contracts Specialist,Contracts Specialist,Contracts Specialist,Contracts Specialist,Technical Architect,Engineer,11-3061.00,Purchasing Managers
